sha,compression,round,w_hamming,input_state_hamming,output_state_hamming,sum0_hamming,sum1_hamming,choice_hamming,majority_hamming,temp1_hamming,temp2_hamming,new_a_hamming,new_e_hamming,choice_context_bits,majority_context_bits,temp1_context_bits,temp2_context_bits,new_a_context_bits,new_e_context_bits,round_context_certificate_sum,temp1_carry_pair_diff_columns,temp2_carry_pair_diff_columns,new_a_carry_pair_diff_columns,new_e_carry_pair_diff_columns,temp1_max_abs_carry_diff,temp2_max_abs_carry_diff,new_a_max_abs_carry_diff,new_e_max_abs_carry_diff,temp1_modular_delta_signed32,temp2_modular_delta_signed32,new_a_modular_delta_signed32,new_e_modular_delta_signed32
1,1,4,1,0,5,0,0,0,0,2,0,4,1,0,0,130,37,43,45,255,1,0,2,1,1,0,1,1,-16777216,0,-16777216,-16777216
1,1,5,0,5,25,12,3,0,1,6,8,15,5,2,8,134,40,48,42,274,4,7,10,3,1,1,1,1,-2147213312,-20940804,2126813180,-2147213312
1,1,6,0,25,56,17,9,4,7,13,17,18,13,11,36,136,45,48,46,322,6,7,17,9,1,1,1,1,2080641220,-380470759,1700170461,2080641220
1,1,7,0,56,87,22,13,6,15,14,14,17,14,32,50,139,52,49,47,369,12,17,16,13,1,1,1,1,-763863809,1508001713,744137904,-763863809
1,1,8,0,87,113,17,18,13,14,17,19,13,18,38,46,140,54,48,43,369,16,19,17,7,1,1,1,1,-1232527986,-278156180,-1510684166,-1249305202
1,1,9,0,113,123,19,16,15,16,19,14,15,15,53,46,139,47,52,51,388,16,12,15,16,2,1,1,1,-1675070616,1344020367,-331050249,451742564
1,1,10,0,123,130,13,13,18,15,19,15,17,21,40,54,140,50,50,50,384,18,18,18,23,2,1,1,1,1240935497,214315902,1455251399,-1353861338
1,1,11,0,130,136,15,13,15,12,17,18,17,20,57,38,138,55,45,53,386,18,17,18,16,1,1,1,1,-630999565,66104151,-564895414,113138339
1,1,12,0,136,142,17,18,21,14,15,14,19,18,56,38,133,48,49,45,369,18,15,14,12,2,1,1,1,-24564630,498334971,473770341,-1535248796
1,1,13,0,142,146,13,12,18,19,13,12,16,18,51,42,134,49,50,48,374,15,10,17,12,1,1,1,1,8026805,228589807,236616612,-323023444
1,1,14,0,146,140,18,16,13,15,18,17,18,14,52,50,138,51,51,55,397,16,21,18,16,1,1,1,1,925146486,1149092661,2074239147,-1914569411
1,1,15,0,140,132,18,20,20,16,20,15,15,14,42,46,138,49,53,54,382,19,15,17,16,2,1,1,1,-1419100467,1355827739,-63272728,-1983995881
1,1,16,0,132,129,19,16,23,17,15,13,14,20,42,46,134,49,49,45,365,21,12,14,21,2,1,1,1,1427579840,-296807636,1130772204,1901350181
1,1,17,0,129,126,18,12,15,15,12,16,15,16,54,52,134,48,49,52,389,19,20,21,12,1,1,1,1,-1579141327,-435012559,-2014153886,-1342524715
1,1,18,0,126,126,17,16,18,16,17,16,13,19,50,52,144,51,48,41,386,16,18,12,15,2,1,1,1,-2061874303,-1160054866,1073038127,12364844
