sha,compression,round,input_state_hamming,output_state_hamming,w_hamming,sum0_hamming,sum1_hamming,choice_hamming,majority_hamming,temp1_hamming,temp2_hamming,new_a_hamming,new_e_hamming,sum0_route,sum1_route,choice_route,majority_route,temp1_route,temp2_route,new_a_route,new_e_route,zero_delta_shortcut_count,ROTR32_count,SHR32_count,XOR32_count,AND32_count,NOT32_count,ADD32_count,SUB32_count,hybrid_dual_tracking_word_ops,direct_dual_tracking_word_ops,baseline_sha_round_core_word_ops,hybrid_vs_baseline_core_ratio,hybrid_vs_direct_dual_tracking_ratio,oracle_validation_passed
1,1,4,0,5,1,0,0,0,0,2,0,4,1,zero_reference_reuse,zero_reference_reuse,zero_reference_reuse,zero_reference_reuse,modular_differential,zero_reference_reuse,modular_differential,modular_differential,5,0,0,4,0,0,3,1,8,42,26,0.3076923076923077,0.19047619047619047,True
1,1,5,5,25,0,12,3,0,1,6,8,15,5,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,modular_differential,0,6,0,15,5,1,4,6,37,42,26,1.4230769230769231,0.8809523809523809,True
1,1,6,25,56,0,17,9,4,7,13,17,18,13,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,modular_differential,0,6,0,15,5,1,5,6,38,42,26,1.4615384615384615,0.9047619047619048,True
1,1,7,56,87,0,22,13,6,15,14,14,17,14,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,modular_differential,0,6,0,15,5,1,5,6,38,42,26,1.4615384615384615,0.9047619047619048,True
1,1,8,87,113,0,17,18,13,14,17,19,13,18,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,9,113,123,0,19,16,15,16,19,14,15,15,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,10,123,130,0,13,13,18,15,19,15,17,21,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,11,130,136,0,15,13,15,12,17,18,17,20,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,12,136,142,0,17,18,21,14,15,14,19,18,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,13,142,146,0,13,12,18,19,13,12,16,18,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,14,146,140,0,18,16,13,15,18,17,18,14,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,15,140,132,0,18,20,20,16,20,15,15,14,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,16,132,129,0,19,16,23,17,15,13,14,20,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,17,129,126,0,18,12,15,15,12,16,15,16,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
1,1,18,126,126,0,17,16,18,16,17,16,13,19,xor_differential,xor_differential,direct_absolute,direct_absolute,modular_differential,direct_absolute,direct_absolute,direct_absolute,0,6,0,15,5,1,6,7,40,42,26,1.5384615384615385,0.9523809523809523,True
