campaign_id,block_id,prevhash,metric,observed,null_mean,null_sd,z_score,permutation_p_two_sided,permutations
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_abs_nonce_delta,1440631412.037914,1432103647.506609,13203558.279800,0.645869,0.512438,200
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_circular_nonce_distance,1077311816.471625,1073088327.041327,9871874.274348,0.427831,0.686567,200
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_xor_popcount,15.992031,16.006892,0.045529,-0.326411,0.751244,200
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_common_prefix_bits,0.983096,1.000856,0.021114,-0.841171,0.417910,200
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_common_suffix_bits,1.010384,1.000942,0.021990,0.429379,0.641791,200
traj_20260905_190202_4a454354,a233de5a97ceb321c40ff8beab4df53d24b8b883dc69e3bb31ec97f96a41eff0,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,spearman_y_rank_vs_nonce,0.006217,-0.002940,0.015216,0.601806,0.552239,200
traj_20260905_190202_4a454354,ac12bcce4e1ea38b16aeb3790af56dabbe3c1c1be8765c0d548d4605c8a39d59,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_abs_nonce_delta,1420203677.719739,1417893807.575373,14131870.265765,0.163451,0.875622,200
traj_20260905_190202_4a454354,ac12bcce4e1ea38b16aeb3790af56dabbe3c1c1be8765c0d548d4605c8a39d59,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_circular_nonce_distance,1081016046.864390,1073286445.359138,10392466.715608,0.743770,0.547264,200
traj_20260905_190202_4a454354,ac12bcce4e1ea38b16aeb3790af56dabbe3c1c1be8765c0d548d4605c8a39d59,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_xor_popcount,15.989453,15.998463,0.048272,-0.186662,0.840796,200
traj_20260905_190202_4a454354,ac12bcce4e1ea38b16aeb3790af56dabbe3c1c1be8765c0d548d4605c8a39d59,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_common_prefix_bits,0.973631,0.998410,0.021742,-1.139679,0.228856,200
traj_20260905_190202_4a454354,ac12bcce4e1ea38b16aeb3790af56dabbe3c1c1be8765c0d548d4605c8a39d59,531f62a605b0199a8aaf046827f062e2418fa2a90000e8380000000000000000,mean_common_suffix_bits,1.031894,0.997879,0.024731,1.375348,0.184080,200
