global_round,sha_pass,compression_index,local_round,comparison,max_abs_feature,mean_rank_biserial,multiple_looks_status
0,1,0,0,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
1,1,0,1,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
2,1,0,2,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
3,1,0,3,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
4,1,0,4,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
5,1,0,5,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
6,1,0,6,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
7,1,0,7,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
8,1,0,8,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
9,1,0,9,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
10,1,0,10,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
11,1,0,11,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
12,1,0,12,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
13,1,0,13,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
14,1,0,14,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
15,1,0,15,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
16,1,0,16,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
17,1,0,17,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
18,1,0,18,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
19,1,0,19,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
20,1,0,20,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
21,1,0,21,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
22,1,0,22,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
23,1,0,23,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
24,1,0,24,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
25,1,0,25,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
26,1,0,26,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
27,1,0,27,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
28,1,0,28,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
29,1,0,29,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
30,1,0,30,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
31,1,0,31,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
32,1,0,32,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
33,1,0,33,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
34,1,0,34,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
35,1,0,35,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
36,1,0,36,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
37,1,0,37,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
38,1,0,38,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
39,1,0,39,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
40,1,0,40,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
41,1,0,41,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
42,1,0,42,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
43,1,0,43,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
44,1,0,44,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
45,1,0,45,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
46,1,0,46,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
47,1,0,47,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
48,1,0,48,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
49,1,0,49,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
50,1,0,50,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
51,1,0,51,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
52,1,0,52,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
53,1,0,53,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
54,1,0,54,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
55,1,0,55,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
56,1,0,56,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
57,1,0,57,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
58,1,0,58,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
59,1,0,59,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
60,1,0,60,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
61,1,0,61,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
62,1,0,62,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
63,1,0,63,EXTREME_vs_RANDOM_CONTROL,state_a_before_normalized,0.000000,DESCRIPTIVE_MULTIPLE_LOOKS_UNADJUSTED_NOT_EVIDENCE
